"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","796","should add a product to cart and show badge","🛍️ Product Inventory","2026-04-09","passed","2026-04-09","","🛒 Add / Remove from cart","",""
"","1662","should add a product and verify it appears in cart","💳 Checkout Flow","2026-04-09","passed","2026-04-09","","🛒 Cart management","",""
"","1394","should show error when postal code is missing","💳 Checkout Flow","2026-04-09","passed","2026-04-09","","❌ Checkout validation — negative cases","",""
"","6331","should log in and log out as performance_glitch_user","🔐 Login & Logout","2026-04-09","passed","2026-04-09","","","",""
"","867","should display product name, description, price and image for each item","🛍️ Product Inventory","2026-04-09","passed","2026-04-09","","📦 Product listing","",""
"","1009","should remove a product from the cart page","💳 Checkout Flow","2026-04-09","passed","2026-04-09","","🛒 Cart management","",""
"","1195","should log in and log out as problem_user","🔐 Login & Logout","2026-04-09","passed","2026-04-09","","","",""
"","825","should sort products by name Z → A","🛍️ Product Inventory","2026-04-09","passed","2026-04-09","","🔃 Sorting","",""
"","719","should show error when logging in as locked_out_user","🔐 Login & Logout","2026-04-09","passed","2026-04-09","","","",""
"","1001","should cancel checkout and return to cart","💳 Checkout Flow","2026-04-09","passed","2026-04-09","","❌ Checkout validation — negative cases","",""
"","1571","should show error when first name is missing","💳 Checkout Flow","2026-04-09","passed","2026-04-09","","❌ Checkout validation — negative cases","",""
"","859","should sort products by price low → high","🛍️ Product Inventory","2026-04-09","passed","2026-04-09","","🔃 Sorting","",""
"","1442","should log in and log out as standard_user","🔐 Login & Logout","2026-04-09","passed","2026-04-09","","","",""
"","923","should continue shopping from cart and return to inventory","💳 Checkout Flow","2026-04-09","passed","2026-04-09","","🛒 Cart management","",""
"","1360","should show error when last name is missing","💳 Checkout Flow","2026-04-09","passed","2026-04-09","","❌ Checkout validation — negative cases","",""
"","820","should sort products by name A → Z","🛍️ Product Inventory","2026-04-09","passed","2026-04-09","","🔃 Sorting","",""
"","913","should add two products and show correct badge count","🛍️ Product Inventory","2026-04-09","passed","2026-04-09","","🛒 Add / Remove from cart","",""
"","1007","should display 6 products","🛍️ Product Inventory","2026-04-09","passed","2026-04-09","","📦 Product listing","",""
"","703","should show error with invalid credentials","🔐 Login & Logout","2026-04-09","passed","2026-04-09","","","",""
"","877","should remove a product from inventory page and clear badge","🛍️ Product Inventory","2026-04-09","passed","2026-04-09","","🛒 Add / Remove from cart","",""
"","404","should show error when password is empty","🔐 Login & Logout","2026-04-09","passed","2026-04-09","","","",""
"","2083","should complete checkout with all products and verify totals","💳 Checkout Flow","2026-04-09","passed","2026-04-09","","✅ Happy path — complete checkout","",""
"","395","should show error when username is empty","🔐 Login & Logout","2026-04-09","passed","2026-04-09","","","",""
"","824","should sort products by price high → low","🛍️ Product Inventory","2026-04-09","passed","2026-04-09","","🔃 Sorting","",""
